country,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
United States of America,"8,133.46","8,133.47","8,133.46","8,133.46","8,133.46","8,133.46","8,133.46","8,133.46","8,133.46","8,133.46","8,133.46","8,133.46","8,133.46","8,133.46","8,133.46","8,133.46","8,133.46","8,135.07","8,136.18","8,134.94","8,149.05"
Germany,"3,355.14","3,359.09","3,362.45","3,366.49","3,369.72","3,373.64","3,377.93","3,380.98","3,384.18","3,387.13","3,391.33","3,396.28","3,400.95","3,406.77","3,412.59","3,417.38","3,422.51","3,427.80","3,433.24","3,439.52","3,445.80"
Italy,"2,451.84","2,451.84","2,451.84","2,451.84","2,451.84","2,451.84","2,451.84","2,451.84","2,451.84","2,451.84","2,451.84","2,451.84","2,451.84","2,451.84","2,451.84","2,451.84","2,451.84","2,451.84","2,451.84","2,451.84","2,451.84"
France,"2,436.75","2,436.47","2,436.19","2,436.00","2,436.03","2,436.00","2,435.84","2,435.62","2,435.37","2,435.37","2,435.37","2,435.40","2,435.40","2,435.40","2,492.13","2,603.04","2,719.74","2,825.77","2,985.27","3,024.65","3,024.68"
Russia,"2,298.53","2,301.64","2,298.53","2,271.16","2,113.03","1,838.76","1,615.22","1,414.54","1,208.18","1,035.20",957.75,882.95,788.61,649.02,519.57,450.33,401.47,386.85,386.94,390.17,387.65
China,"2,010.51","1,948.30","1,948.30","1,948.30","1,852.50","1,842.55","1,842.55","1,762.30","1,054.08","1,054.08","1,054.08","1,054.08","1,054.08","1,054.08",599.97,599.97,599.97,599.97,599.97,599.97,599.97
Switzerland,"1,040.00","1,040.00","1,040.00","1,040.00","1,040.00","1,040.00","1,040.00","1,039.99","1,039.99","1,040.06","1,040.07","1,040.07","1,040.07","1,040.09","1,040.09","1,145.19","1,290.08","1,290.08","1,354.28","1,633.28","1,916.68"
Japan,845.97,845.97,765.21,765.21,765.21,765.21,765.21,765.21,765.21,765.21,765.21,765.21,765.21,765.21,765.21,765.21,765.21,765.21,765.21,765.21,765.21
India,787.40,754.10,676.60,634.92,600.40,558.06,557.73,557.71,557.71,557.71,557.71,557.71,557.71,557.71,357.71,357.71,357.71,357.71,357.71,357.72,357.72
Netherlands,612.45,612.45,612.45,612.45,612.45,612.45,612.45,612.45,612.45,612.45,612.45,612.45,612.45,612.45,612.45,621.44,640.94,694.94,777.46,777.46,851.67
